[10/18 22:41:23] train_sl  23/10/18 22:41:20 INFO: CRAIG dataloader initialized. 
[10/18 22:41:56] train_sl  23/10/18 22:41:20 INFO: Epoch: 0 , Training Loss: 0.19866250745985242 , Training Accuracy: 0.10064444444444444 , Validation Loss: 0.20104676513671876 , Validation Accuracy: 0.0942 , Test Loss: 0.18879923706054688 , Test Accuracy: 0.0999 , Best Accuracy: 0.0999 , Timing: 0
[10/18 22:41:56] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 0, reading dataloader... 
[10/18 22:41:56] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 0, finished reading dataloader. 
[10/18 22:42:00] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 1, reading dataloader... 
[10/18 22:42:00] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 1, finished reading dataloader. 
[10/18 22:42:04] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 2, reading dataloader... 
[10/18 22:42:04] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 2, finished reading dataloader. 
[10/18 22:42:08] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 3, reading dataloader... 
[10/18 22:42:08] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 3, finished reading dataloader. 
[10/18 22:42:11] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 4, reading dataloader... 
[10/18 22:42:11] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 4, finished reading dataloader. 
[10/18 22:42:15] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 5, reading dataloader... 
[10/18 22:42:15] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 5, finished reading dataloader. 
[10/18 22:42:18] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 6, reading dataloader... 
[10/18 22:42:18] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 6, finished reading dataloader. 
[10/18 22:42:22] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 7, reading dataloader... 
[10/18 22:42:22] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 7, finished reading dataloader. 
[10/18 22:42:25] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 8, reading dataloader... 
[10/18 22:42:25] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 8, finished reading dataloader. 
[10/18 22:42:29] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 9, reading dataloader... 
[10/18 22:42:29] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 9, finished reading dataloader. 
[10/18 22:43:01] train_sl  23/10/18 22:41:20 INFO: Epoch: 10 , Training Loss: 0.0923450690375434 , Training Accuracy: 0.3227777777777778 , Validation Loss: 0.09333953552246094 , Validation Accuracy: 0.3198 , Test Loss: 0.09141734161376953 , Test Accuracy: 0.3318 , Best Accuracy: 0.3318 , Timing: 36.33410716056824
[10/18 22:43:01] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 10, reading dataloader... 
[10/18 22:43:01] train_sl  23/10/18 22:41:20 INFO: Epoch: 10, requires subset selection. [[10/18 22:44:10] train_sl  23/10/18 22:41:20 DEBUG: CRAIG strategy data selection time is: 69.2817
[10/18 22:44:10] train_sl  23/10/18 22:41:20 INFO: Epoch: 10, subset selection finished, takes 69.3127. 
[10/18 22:44:10] train_sl  23/10/18 22:41:20 DEBUG: Subset indices length: 4503
[10/18 22:44:10] train_sl  23/10/18 22:41:20 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[10/18 22:44:10] train_sl  23/10/18 22:41:20 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4503
[10/18 22:44:10] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 10, finished reading dataloader. 
[10/18 22:44:14] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 11, reading dataloader... 
[10/18 22:44:14] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 11, finished reading dataloader. 
[10/18 22:44:17] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 12, reading dataloader... 
[10/18 22:44:17] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 12, finished reading dataloader. 
[10/18 22:44:21] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 13, reading dataloader... 
[10/18 22:44:21] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 13, finished reading dataloader. 
[10/18 22:44:25] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 14, reading dataloader... 
[10/18 22:44:25] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 14, finished reading dataloader. 
[10/18 22:44:28] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 15, reading dataloader... 
[10/18 22:44:28] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 15, finished reading dataloader. 
[10/18 22:44:32] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 16, reading dataloader... 
[10/18 22:44:32] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 16, finished reading dataloader. 
[10/18 22:44:36] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 17, reading dataloader... 
[10/18 22:44:36] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 17, finished reading dataloader. 
[10/18 22:44:39] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 18, reading dataloader... 
[10/18 22:44:39] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 18, finished reading dataloader. 
[10/18 22:44:43] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 19, reading dataloader... 
[10/18 22:44:43] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 19, finished reading dataloader. 
[10/18 22:44:47] train_sl  23/10/18 22:41:20 INFO: Model checkpoint saved at epoch: 20
[10/18 22:45:16] train_sl  23/10/18 22:41:20 INFO: Epoch: 20 , Training Loss: 0.07990425550672743 , Training Accuracy: 0.4271333333333333 , Validation Loss: 0.08016929626464844 , Validation Accuracy: 0.422 , Test Loss: 0.08011553192138672 , Test Accuracy: 0.4393 , Best Accuracy: 0.4393 , Timing: 141.8740749359131
[10/18 22:45:16] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 20, reading dataloader... 
[10/18 22:45:16] train_sl  23/10/18 22:41:20 INFO: Epoch: 20, requires subset selection. 
[10/18 22:46:24] train_sl  23/10/18 22:41:20 DEBUG: CRAIG strategy data selection time is: 68.1457
[10/18 22:46:24] train_sl  23/10/18 22:41:20 INFO: Epoch: 20, subset selection finished, takes 68.1747. 
[10/18 22:46:24] train_sl  23/10/18 22:41:20 DEBUG: Subset indices length: 4503
[10/18 22:46:24] train_sl  23/10/18 22:41:20 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[10/18 22:46:24] train_sl  23/10/18 22:41:20 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4503
[10/18 22:46:24] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 20, finished reading dataloader. 
[10/18 22:46:28] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 21, reading dataloader... 
[10/18 22:46:28] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 21, finished reading dataloader. 
[10/18 22:46:31] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 22, reading dataloader... 
[10/18 22:46:31] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 22, finished reading dataloader. 
[10/18 22:46:35] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 23, reading dataloader... 
[10/18 22:46:35] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 23, finished reading dataloader. 
[10/18 22:46:39] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 24, reading dataloader... 
[10/18 22:46:39] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 24, finished reading dataloader. 
[10/18 22:46:42] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 25, reading dataloader... 
[10/18 22:46:42] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 25, finished reading dataloader. 
[10/18 22:46:46] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 26, reading dataloader... 
[10/18 22:46:46] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 26, finished reading dataloader. 
[10/18 22:46:49] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 27, reading dataloader... 
[10/18 22:46:49] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 27, finished reading dataloader. 
[10/18 22:46:53] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 28, reading dataloader... 
[10/18 22:46:53] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 28, finished reading dataloader. 
[10/18 22:46:57] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 29, reading dataloader... 
[10/18 22:46:57] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 29, finished reading dataloader. 
[10/18 22:47:30] train_sl  23/10/18 22:41:20 INFO: Epoch: 30 , Training Loss: 0.08008696662055122 , Training Accuracy: 0.46273333333333333 , Validation Loss: 0.08079224243164063 , Validation Accuracy: 0.4586 , Test Loss: 0.08220094146728515 , Test Accuracy: 0.4713 , Best Accuracy: 0.4713 , Timing: 246.19981741905212
[10/18 22:47:30] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 30, reading dataloader... 
[10/18 22:47:30] train_sl  23/10/18 22:41:20 INFO: Epoch: 30, requires subset selection. 
[10/18 22:48:39] train_sl  23/10/18 22:41:20 DEBUG: CRAIG strategy data selection time is: 68.9847
[10/18 22:48:39] train_sl  23/10/18 22:41:20 INFO: Epoch: 30, subset selection finished, takes 69.0155. 
[10/18 22:48:39] train_sl  23/10/18 22:41:20 DEBUG: Subset indices length: 4503
[10/18 22:48:39] train_sl  23/10/18 22:41:20 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[10/18 22:48:39] train_sl  23/10/18 22:41:20 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4503
[10/18 22:48:39] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 30, finished reading dataloader. 
[10/18 22:48:42] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 31, reading dataloader... 
[10/18 22:48:42] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 31, finished reading dataloader. 
[10/18 22:48:46] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 32, reading dataloader... 
[10/18 22:48:46] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 32, finished reading dataloader. 
[10/18 22:48:50] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 33, reading dataloader... 
[10/18 22:48:50] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 33, finished reading dataloader. 
[10/18 22:48:53] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 34, reading dataloader... 
[10/18 22:48:53] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 34, finished reading dataloader. 
[10/18 22:48:57] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 35, reading dataloader... 
[10/18 22:48:57] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 35, finished reading dataloader. 
[10/18 22:49:00] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 36, reading dataloader... 
[10/18 22:49:00] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 36, finished reading dataloader. 
[10/18 22:49:04] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 37, reading dataloader... 
[10/18 22:49:04] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 37, finished reading dataloader. 
[10/18 22:49:08] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 38, reading dataloader... 
[10/18 22:49:08] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 38, finished reading dataloader. 
[10/18 22:49:11] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 39, reading dataloader... 
[10/18 22:49:11] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 39, finished reading dataloader. 
[10/18 22:49:15] train_sl  23/10/18 22:41:20 INFO: Model checkpoint saved at epoch: 40
