[02/15 08:37:21] train_sl  24/02/15 08:37:16 DEBUG: Glister dataloader initialized. 
[02/15 08:37:54] train_sl  24/02/15 08:37:16 INFO: Epoch: 0 , Training Loss: 0.16704961615668404 , Training Accuracy: 0.10455555555555555 , Validation Loss: 0.16843380126953125 , Validation Accuracy: 0.0986 , Test Loss: 0.16178958129882812 , Test Accuracy: 0.1021 , Best Accuracy: 0.1021 , Timing: 0
[02/15 08:37:54] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 0, reading dataloader... 
[02/15 08:37:54] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 0, finished reading dataloader. 
[02/15 08:37:58] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 1, reading dataloader... 
[02/15 08:37:58] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 1, finished reading dataloader. 
[02/15 08:38:02] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 2, reading dataloader... 
[02/15 08:38:02] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 2, finished reading dataloader. 
[02/15 08:38:05] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 3, reading dataloader... 
[02/15 08:38:05] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 3, finished reading dataloader. 
[02/15 08:38:09] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 4, reading dataloader... 
[02/15 08:38:09] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 4, finished reading dataloader. 
[02/15 08:38:12] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 5, reading dataloader... 
[02/15 08:38:12] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 5, finished reading dataloader. 
[02/15 08:38:16] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 6, reading dataloader... 
[02/15 08:38:16] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 6, finished reading dataloader. 
[02/15 08:38:19] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 7, reading dataloader... 
[02/15 08:38:19] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 7, finished reading dataloader. 
[02/15 08:38:23] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 8, reading dataloader... 
