[07/03 08:04:23] train_sl  23/07/03 08:04:15 DEBUG: Glister dataloader initialized. 
[07/03 08:04:45] train_sl  23/07/03 08:04:15 INFO: Epoch: 0 , Training Loss: 0.19878750813802085 , Training Accuracy: 0.10031111111111111 , Validation Loss: 0.19987237548828124 , Validation Accuracy: 0.0958 , Test Loss: 0.18879930114746094 , Test Accuracy: 0.0999 , Best Accuracy: 0.0999 , Timing: 0
[07/03 08:04:45] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 0, reading dataloader... 
[07/03 08:04:45] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 0, finished reading dataloader. 
[07/03 08:04:49] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 1, reading dataloader... 
[07/03 08:04:49] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 1, finished reading dataloader. 
[07/03 08:04:53] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 2, reading dataloader... 
[07/03 08:04:53] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 2, finished reading dataloader. 
[07/03 08:04:57] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 3, reading dataloader... 
[07/03 08:04:57] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 3, finished reading dataloader. 
[07/03 08:05:01] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 4, reading dataloader... 
[07/03 08:05:01] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 4, finished reading dataloader. 
[07/03 08:05:04] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 5, reading dataloader... 
[07/03 08:05:04] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 5, finished reading dataloader. 
[07/03 08:05:08] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 6, reading dataloader... 
[07/03 08:05:08] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 6, finished reading dataloader. 
[07/03 08:05:12] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 7, reading dataloader... 
[07/03 08:05:12] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 7, finished reading dataloader. 
[07/03 08:05:16] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 8, reading dataloader... 
[07/03 08:05:16] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 8, finished reading dataloader. 
[07/03 08:05:20] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 9, reading dataloader... 
[07/03 08:05:20] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 9, finished reading dataloader. 
[07/03 08:05:45] train_sl  23/07/03 08:04:15 INFO: Epoch: 10 , Training Loss: 0.10387783949110244 , Training Accuracy: 0.2911111111111111 , Validation Loss: 0.10397562255859374 , Validation Accuracy: 0.2932 , Test Loss: 0.08798953399658203 , Test Accuracy: 0.3775 , Best Accuracy: 0.3775 , Timing: 39.31482267379761
[07/03 08:05:45] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 10, reading dataloader... 
[07/03 08:05:45] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 10, requires subset selection. 
[07/03 08:06:05] train_sl  23/07/03 08:04:15 DEBUG: Stochastic Greedy GLISTER total time: 5.7162
[07/03 08:06:05] train_sl  23/07/03 08:04:15 DEBUG: GLISTER algorithm Subset Selection time is: 20.3436
[07/03 08:06:05] train_sl  23/07/03 08:04:15 INFO: Epoch: 10, GLISTER dataloader subset selection finished, takes 20.3640. 
[07/03 08:06:05] train_sl  23/07/03 08:04:15 DEBUG: Subset indices length: 4500
[07/03 08:06:05] train_sl  23/07/03 08:04:15 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[07/03 08:06:05] train_sl  23/07/03 08:04:15 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[07/03 08:06:05] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 10, finished reading dataloader. 
[07/03 08:06:09] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 11, reading dataloader... 
[07/03 08:06:09] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 11, finished reading dataloader. 
[07/03 08:06:13] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 12, reading dataloader... 
[07/03 08:06:13] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 12, finished reading dataloader. 
[07/03 08:06:17] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 13, reading dataloader... 
[07/03 08:06:17] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 13, finished reading dataloader. 
[07/03 08:06:21] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 14, reading dataloader... 
[07/03 08:06:21] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 14, finished reading dataloader. 
[07/03 08:06:25] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 15, reading dataloader... 
[07/03 08:06:25] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 15, finished reading dataloader. 
[07/03 08:06:29] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 16, reading dataloader... 
[07/03 08:06:29] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 16, finished reading dataloader. 
[07/03 08:06:33] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 17, reading dataloader... 
[07/03 08:06:33] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 17, finished reading dataloader. 
[07/03 08:06:36] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 18, reading dataloader... 
[07/03 08:06:36] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 18, finished reading dataloader. 
[07/03 08:06:40] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 19, reading dataloader... 
[07/03 08:06:40] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 19, finished reading dataloader. 
[07/03 08:06:44] train_sl  23/07/03 08:04:15 INFO: Model checkpoint saved at epoch: 20
[07/03 08:07:05] train_sl  23/07/03 08:04:15 INFO: Epoch: 20 , Training Loss: 0.1099091573079427 , Training Accuracy: 0.21115555555555557 , Validation Loss: 0.11001647338867188 , Validation Accuracy: 0.2116 , Test Loss: 0.10216495513916016 , Test Accuracy: 0.249 , Best Accuracy: 0.3775 , Timing: 98.75208759307861
[07/03 08:07:05] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 20, reading dataloader... 
[07/03 08:07:05] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 20, requires subset selection. 
[07/03 08:07:25] train_sl  23/07/03 08:04:15 DEBUG: Stochastic Greedy GLISTER total time: 5.5854
[07/03 08:07:25] train_sl  23/07/03 08:04:15 DEBUG: GLISTER algorithm Subset Selection time is: 20.0467
[07/03 08:07:25] train_sl  23/07/03 08:04:15 INFO: Epoch: 20, GLISTER dataloader subset selection finished, takes 20.0644. 
[07/03 08:07:25] train_sl  23/07/03 08:04:15 DEBUG: Subset indices length: 4500
[07/03 08:07:25] train_sl  23/07/03 08:04:15 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[07/03 08:07:25] train_sl  23/07/03 08:04:15 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[07/03 08:07:25] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 20, finished reading dataloader. 
[07/03 08:07:29] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 21, reading dataloader... 
[07/03 08:07:29] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 21, finished reading dataloader. 
[07/03 08:07:33] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 22, reading dataloader... 
[07/03 08:07:33] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 22, finished reading dataloader. 
[07/03 08:07:37] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 23, reading dataloader... 
[07/03 08:07:37] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 23, finished reading dataloader. 
[07/03 08:07:41] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 24, reading dataloader... 
[07/03 08:07:41] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 24, finished reading dataloader. 
[07/03 08:07:45] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 25, reading dataloader... 
[07/03 08:07:45] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 25, finished reading dataloader. 
[07/03 08:07:49] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 26, reading dataloader... 
[07/03 08:07:49] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 26, finished reading dataloader. 
[07/03 08:07:52] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 27, reading dataloader... 
[07/03 08:07:52] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 27, finished reading dataloader. 
[07/03 08:07:56] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 28, reading dataloader... 
[07/03 08:07:56] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 28, finished reading dataloader. 
[07/03 08:08:00] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 29, reading dataloader... 
[07/03 08:08:00] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 29, finished reading dataloader. 
[07/03 08:08:25] train_sl  23/07/03 08:04:15 INFO: Epoch: 30 , Training Loss: 0.1078746086968316 , Training Accuracy: 0.27366666666666667 , Validation Loss: 0.10775711669921875 , Validation Accuracy: 0.269 , Test Loss: 0.09622630157470703 , Test Accuracy: 0.3512 , Best Accuracy: 0.3775 , Timing: 157.98685479164124
[07/03 08:08:25] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 30, reading dataloader... 
[07/03 08:08:25] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 30, requires subset selection. 
[07/03 08:08:45] train_sl  23/07/03 08:04:15 DEBUG: Stochastic Greedy GLISTER total time: 5.4842
[07/03 08:08:45] train_sl  23/07/03 08:04:15 DEBUG: GLISTER algorithm Subset Selection time is: 19.9979
[07/03 08:08:45] train_sl  23/07/03 08:04:15 INFO: Epoch: 30, GLISTER dataloader subset selection finished, takes 20.0161. 
[07/03 08:08:45] train_sl  23/07/03 08:04:15 DEBUG: Subset indices length: 4500
[07/03 08:08:45] train_sl  23/07/03 08:04:15 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[07/03 08:08:45] train_sl  23/07/03 08:04:15 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[07/03 08:08:45] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 30, finished reading dataloader. 
[07/03 08:08:49] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 31, reading dataloader... 
[07/03 08:08:49] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 31, finished reading dataloader. 
[07/03 08:08:53] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 32, reading dataloader... 
[07/03 08:08:53] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 32, finished reading dataloader. 
[07/03 08:08:57] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 33, reading dataloader... 
[07/03 08:08:57] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 33, finished reading dataloader. 
[07/03 08:09:00] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 34, reading dataloader... 
[07/03 08:09:00] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 34, finished reading dataloader. 
[07/03 08:09:04] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 35, reading dataloader... 
[07/03 08:09:04] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 35, finished reading dataloader. 
[07/03 08:09:08] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 36, reading dataloader... 
[07/03 08:09:08] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 36, finished reading dataloader. 
[07/03 08:09:12] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 37, reading dataloader... 
[07/03 08:09:12] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 37, finished reading dataloader. 
[07/03 08:09:16] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 38, reading dataloader... 
[07/03 08:09:16] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 38, finished reading dataloader. 
[07/03 08:09:20] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 39, reading dataloader... 
[07/03 08:09:20] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 39, finished reading dataloader. 
[07/03 08:09:24] train_sl  23/07/03 08:04:15 INFO: Model checkpoint saved at epoch: 40
[07/03 08:09:44] train_sl  23/07/03 08:04:15 INFO: Epoch: 40 , Training Loss: 0.11167604573567709 , Training Accuracy: 0.2321111111111111 , Validation Loss: 0.1115476806640625 , Validation Accuracy: 0.2278 , Test Loss: 0.10208949432373046 , Test Accuracy: 0.2896 , Best Accuracy: 0.3775 , Timing: 216.8602032661438
[07/03 08:09:44] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 40, reading dataloader... 
[07/03 08:09:44] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 40, requires subset selection. 
[07/03 08:10:04] train_sl  23/07/03 08:04:15 DEBUG: Stochastic Greedy GLISTER total time: 5.5385
[07/03 08:10:04] train_sl  23/07/03 08:04:15 DEBUG: GLISTER algorithm Subset Selection time is: 19.9677
