[10/30 13:40:25] train_sl  23/10/30 13:40:20 INFO: Submodular dataloader initialized. 
[10/30 13:41:05] train_sl  23/10/30 13:40:20 INFO: Epoch: 0 , Training Loss: 0.19860245090060763 , Training Accuracy: 0.10062222222222222 , Test Loss: 0.18879923706054688 , Test Accuracy: 0.0999 , Best Accuracy: 0.0999 , Timing: 0
[10/30 13:41:05] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 0, reading dataloader... 
[10/30 13:41:05] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 0, finished reading dataloader. 
[10/30 13:41:10] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 1, reading dataloader... 
[10/30 13:41:10] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 1, finished reading dataloader. 
[10/30 13:41:15] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 2, reading dataloader... 
[10/30 13:41:15] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 2, finished reading dataloader. 
[10/30 13:41:19] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 3, reading dataloader... 
[10/30 13:41:19] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 3, finished reading dataloader. 
[10/30 13:41:24] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 4, reading dataloader... 
[10/30 13:41:24] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 4, finished reading dataloader. 
[10/30 13:41:29] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 5, reading dataloader... 
[10/30 13:41:29] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 5, finished reading dataloader. 
[10/30 13:41:34] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 6, reading dataloader... 
[10/30 13:41:34] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 6, finished reading dataloader. 
[10/30 13:41:39] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 7, reading dataloader... 
[10/30 13:41:39] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 7, finished reading dataloader. 
[10/30 13:41:44] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 8, reading dataloader... 
[10/30 13:41:44] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 8, finished reading dataloader. 
[10/30 13:41:49] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 9, reading dataloader... 
[10/30 13:41:49] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 9, finished reading dataloader. 
[10/30 13:42:30] train_sl  23/10/30 13:40:20 INFO: Epoch: 10 , Training Loss: 0.08813423597547743 , Training Accuracy: 0.4474 , Test Loss: 0.0817419921875 , Test Accuracy: 0.4802 , Best Accuracy: 0.4802 , Timing: 48.71096396446228
[10/30 13:42:30] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 10, reading dataloader... 
[10/30 13:42:30] train_sl  23/10/30 13:40:20 INFO: Epoch: 10, requires subset selection. 
[10/30 13:44:26] train_sl  23/10/30 13:40:20 DEBUG: Submodular strategy data selection time is: 115.5938
